City,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score
ARVADA,5.0,5.0,10.0,5.0,7.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0,6.0,6.0,7.0,10.0,5.0,8.0,9.0,10.0,10.0,10.0,5.0,5.0,5.0,8.0,10.0,10.0,10.0,84.0
ASHEBORO,1.0,5.0,4.0,5.0,2.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,7.0,5.0,8.0,9.0,10.0,10.0,5.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,67.0
ASHEVILLE,1.0,5.0,6.0,5.0,3.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,4.0,5.0,10.0,9.0,10.0,10.0,6.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,66.0
ASHLAND,6.0,5.0,6.0,5.0,6.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,8.0,5.0,10.0,9.0,10.0,10.0,6.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,83.0
ASHTABULA,6.0,5.0,4.0,5.0,5.0,5.0,9.0,8.0,7.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,8.0,5.0,9.0,9.0,10.0,10.0,2.0,5.0,2.0,5.0,10.0,10.0,10.0,10.0,64.0
ASTORIA,6.0,5.0,8.5,5.0,7.0,5.0,5.5,8.0,8.0,8.0,0.0,9.0,7.0,6.0,8.0,7.0,1.5,5.0,9.5,9.0,10.0,10.0,4.0,5.0,6.5,5.0,8.5,10.0,9.5,10.0,56.0
ATHENS,7.0,5.0,2.33,5.0,5.0,5.0,9.0,8.0,8.33,8.0,10.0,9.0,2.33,6.0,5.33,7.0,7.0,5.0,9.67,9.0,10.0,10.0,4.67,5.0,5.67,5.0,10.0,10.0,10.0,10.0,67.33
ATLANTA,5.21,5.0,1.36,5.0,3.5,5.0,7.43,8.0,6.14,8.0,10.0,9.0,3.86,6.0,5.93,7.0,3.79,5.0,8.71,9.0,10.0,10.0,1.86,5.0,6.86,5.0,10.0,10.0,10.0,10.0,53.79
ATLANTIC CITY,3.0,5.0,0.0,5.0,2.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,1.0,6.0,5.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,52.0
ATWATER,5.0,5.0,6.0,5.0,6.0,5.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,7.0,5.0,9.0,9.0,10.0,10.0,3.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,74.0
AUBURN,6.67,5.0,7.33,5.0,7.0,5.0,7.33,8.0,8.67,8.0,10.0,9.0,5.67,6.0,7.33,7.0,9.33,5.0,9.33,9.0,10.0,10.0,6.67,5.0,6.0,5.0,10.0,10.0,10.0,10.0,78.0
AUGUSTA,7.33,5.0,3.33,5.0,5.67,5.0,7.67,8.0,8.0,8.0,10.0,9.0,5.67,6.0,7.67,7.0,4.0,5.0,9.67,9.0,10.0,10.0,5.67,5.0,3.0,5.0,10.0,10.0,10.0,10.0,62.67
AURORA,6.33,5.0,8.33,5.0,7.17,5.0,8.33,8.0,9.5,8.0,10.0,9.0,3.0,6.0,5.83,7.0,5.67,5.0,8.83,9.0,10.0,10.0,4.5,5.0,7.17,5.0,10.0,10.0,10.0,10.0,69.33
AUSTELL,6.0,5.0,5.0,5.0,5.5,5.0,8.0,8.0,6.5,8.0,10.0,9.0,8.0,6.0,9.0,7.0,3.5,5.0,10.0,9.0,10.0,10.0,6.5,5.0,5.0,5.0,10.0,10.0,10.0,10.0,65.5
AUSTIN,7.22,5.0,5.44,5.0,6.44,5.0,7.11,8.0,8.78,8.0,10.0,9.0,4.78,6.0,6.78,7.0,5.0,5.0,9.11,9.0,10.0,10.0,3.78,5.0,7.44,5.0,10.0,10.0,10.0,10.0,65.44
