City,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score
MARGATE,10.0,5.0,9.0,5.0,10.0,5.0,2.0,8.0,3.0,8.0,0.0,9.0,7.0,6.0,8.0,7.0,0.0,5.0,5.0,9.0,10.0,10.0,7.0,5.0,5.0,5.0,10.0,10.0,6.0,10.0,50.0
MARIANNA,8.0,5.0,0.0,5.0,4.0,5.0,7.0,8.0,8.0,8.0,10.0,9.0,2.0,6.0,5.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,6.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,60.0
MARIETTA,5.5,5.0,5.5,5.0,5.5,5.0,6.5,8.0,8.0,8.0,10.0,9.0,7.5,6.0,8.5,7.0,2.0,5.0,6.5,9.0,9.0,10.0,4.0,5.0,3.5,5.0,10.0,10.0,10.0,10.0,55.5
MARINETTE,6.0,5.0,7.0,5.0,7.0,5.0,7.0,8.0,9.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,76.0
MARION,2.5,5.0,3.25,5.0,3.0,5.0,8.75,8.0,9.25,8.0,10.0,9.0,6.0,6.0,7.5,7.0,5.25,5.0,9.75,9.0,10.0,10.0,3.75,5.0,5.0,5.0,10.0,10.0,10.0,10.0,62.5
MARLBOROUGH,8.0,5.0,10.0,5.0,9.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,2.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,69.0
MARRERO,5.0,5.0,6.0,5.0,5.0,5.0,5.0,8.0,10.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,60.0
MARSHALL,8.0,5.0,0.0,5.0,4.0,5.0,10.0,8.0,6.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,6.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,65.0
MARSHFIELD,6.0,5.0,5.0,5.0,6.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,7.0,5.0,9.0,9.0,9.0,10.0,5.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,64.0
MARTIN,1.0,5.0,3.0,5.0,2.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,3.0,6.0,6.0,7.0,5.0,5.0,8.0,9.0,10.0,10.0,4.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,56.0
MARTINSBURG,3.0,5.0,5.0,5.0,4.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,68.0
MARTINSVILLE,6.5,5.0,3.5,5.0,5.0,5.0,8.5,8.0,9.5,8.0,10.0,9.0,7.0,6.0,8.0,7.0,6.5,5.0,10.0,9.0,10.0,10.0,3.0,5.0,3.5,5.0,10.0,10.0,10.0,10.0,66.5
MARYSVILLE,8.0,5.0,3.0,5.0,6.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,3.0,5.0,9.0,9.0,10.0,10.0,4.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,65.0
MARYVILLE,7.0,5.0,4.0,5.0,5.5,5.0,8.5,8.0,7.5,8.0,10.0,9.0,7.5,6.0,8.5,7.0,6.0,5.0,9.5,9.0,10.0,10.0,4.5,5.0,5.5,5.0,10.0,10.0,10.0,10.0,69.5
MASHPEE,7.0,5.0,9.0,5.0,8.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,2.0,5.0,10.0,10.0,10.0,10.0,81.0
MATTESON,5.0,5.0,4.0,5.0,5.0,5.0,7.0,8.0,5.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,1.0,5.0,6.0,9.0,10.0,10.0,3.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,47.0
MATTHEWS,10.0,5.0,8.0,5.0,9.0,5.0,10.0,8.0,7.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,3.0,5.0,6.0,9.0,10.0,10.0,6.0,5.0,9.0,5.0,10.0,10.0,10.0,10.0,74.0
MAUMEE,0.0,5.0,0.0,5.0,0.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,63.0
MAYSVILLE,6.0,5.0,5.0,5.0,6.0,5.0,9.0,8.0,10.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,9.0,5.0,9.0,9.0,10.0,10.0,10.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,89.0
MAYWOOD,6.5,5.0,6.0,5.0,6.0,5.0,8.5,8.0,8.5,8.0,10.0,9.0,4.5,6.0,6.5,7.0,7.0,5.0,10.0,9.0,10.0,10.0,4.5,5.0,8.0,5.0,10.0,10.0,10.0,10.0,71.5
MCALESTER,5.0,5.0,7.0,5.0,6.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,9.0,5.0,9.0,9.0,1.0,10.0,10.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,78.0
MCALLEN,4.33,5.0,4.33,5.0,4.33,5.0,6.67,8.0,7.67,8.0,10.0,9.0,8.67,6.0,9.0,7.0,3.67,5.0,10.0,9.0,10.0,10.0,5.33,5.0,6.67,5.0,9.67,10.0,10.0,10.0,63.33
MCCOMB,7.0,5.0,4.0,5.0,6.0,5.0,7.0,8.0,8.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,4.0,5.0,9.0,9.0,10.0,10.0,3.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,55.0
MCDONOUGH,6.0,5.0,5.0,5.0,6.0,5.0,8.0,8.0,6.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,5.0,5.0,7.0,9.0,10.0,10.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,68.0
MCKINNEY,7.5,5.0,2.5,5.0,5.0,5.0,8.5,8.0,9.0,8.0,10.0,9.0,6.0,6.0,7.5,7.0,4.5,5.0,8.5,9.0,10.0,10.0,1.5,5.0,2.0,5.0,10.0,10.0,10.0,10.0,58.0
MEADVILLE,7.0,5.0,9.0,5.0,8.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,70.0
MEBANE,3.0,5.0,2.0,5.0,3.0,5.0,6.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,5.0,5.0,9.0,9.0,10.0,10.0,6.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,64.0
MECHANICSVILLE,3.5,5.0,3.5,5.0,3.5,5.0,9.5,8.0,10.0,8.0,10.0,9.0,7.0,6.0,8.5,7.0,4.0,5.0,10.0,9.0,10.0,10.0,7.5,5.0,7.0,5.0,10.0,10.0,10.0,10.0,70.5
MEDFORD,6.75,5.0,6.5,5.0,6.75,5.0,9.5,8.0,9.0,8.0,10.0,9.0,6.5,6.0,7.75,7.0,5.75,5.0,9.5,9.0,10.0,10.0,3.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,68.25
MEDIA,5.0,5.0,3.0,5.0,4.0,5.0,9.0,8.0,4.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,10.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,77.0
MELBOURNE,5.0,5.0,8.0,5.0,6.0,5.0,9.0,8.0,8.0,8.0,0.0,9.0,0.0,6.0,4.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,54.0
MELROSE PARK,5.0,5.0,8.5,5.0,6.5,5.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,7.5,5.0,10.0,10.0,10.0,10.0,74.5
MEMPHIS,3.8,5.0,6.45,5.0,4.95,5.0,7.75,8.0,7.75,8.0,10.0,9.0,5.45,6.0,7.25,7.0,3.25,5.0,9.5,9.0,9.95,10.0,3.0,5.0,4.35,5.0,10.0,10.0,10.0,10.0,57.35
MENLO PARK,3.0,5.0,4.0,5.0,3.0,5.0,7.0,8.0,9.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,8.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,73.0
MENTOR,8.0,5.0,8.0,5.0,8.0,5.0,10.0,8.0,8.0,8.0,0.0,9.0,9.0,6.0,9.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,71.0
MERCED,6.0,5.0,7.5,5.0,6.5,5.0,5.5,8.0,7.0,8.0,10.0,9.0,9.0,6.0,9.5,7.0,7.5,5.0,9.0,9.0,10.0,10.0,2.0,5.0,8.5,5.0,10.0,10.0,10.0,10.0,70.0
MERIDIAN,2.0,5.0,6.0,5.0,3.67,5.0,8.67,8.0,8.0,8.0,10.0,9.0,7.0,6.0,8.33,7.0,7.67,5.0,8.33,9.0,9.33,10.0,7.67,5.0,7.0,5.0,10.0,10.0,10.0,10.0,74.67
MERRILLVILLE,4.5,5.0,4.5,5.0,4.5,5.0,8.0,8.0,9.5,8.0,10.0,9.0,5.0,6.0,7.0,7.0,3.5,5.0,8.0,9.0,10.0,10.0,5.5,5.0,7.5,5.0,10.0,10.0,10.0,10.0,64.0
MERRIONETTE PARK,4.0,5.0,3.0,5.0,4.0,5.0,9.0,8.0,10.0,8.0,0.0,9.0,7.0,6.0,8.0,7.0,2.0,5.0,10.0,9.0,10.0,10.0,2.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,56.0
MESA,5.0,5.0,7.67,5.0,6.0,5.0,7.33,8.0,6.67,8.0,10.0,9.0,7.0,6.0,8.0,7.0,3.67,5.0,8.33,9.0,10.0,10.0,4.33,5.0,7.0,5.0,10.0,10.0,9.67,10.0,63.0
MESQUITE,7.0,5.0,2.0,5.0,5.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,8.33,6.0,9.0,7.0,6.0,5.0,9.33,9.0,10.0,10.0,6.67,5.0,7.67,5.0,10.0,10.0,9.0,10.0,74.67
METAIRIE,7.5,5.0,4.0,5.0,6.0,5.0,8.0,8.0,9.5,8.0,10.0,9.0,3.5,6.0,6.5,7.0,8.0,5.0,9.0,9.0,10.0,10.0,6.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,73.5
METHUEN,0.0,5.0,4.0,5.0,1.5,5.0,8.0,8.0,10.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,8.5,5.0,9.5,9.0,10.0,10.0,2.5,5.0,5.5,5.0,10.0,10.0,10.0,10.0,64.5
MIAMI,4.8,5.0,6.9,5.0,5.7,5.0,7.8,8.0,6.5,8.0,9.0,9.0,4.4,6.0,6.7,7.0,7.0,5.0,7.7,9.0,9.9,10.0,2.1,5.0,1.6,5.0,9.8,10.0,9.6,10.0,60.0
MIAMI GARDENS,0.0,5.0,0.0,5.0,0.0,5.0,5.0,8.0,9.0,8.0,10.0,9.0,0.0,6.0,0.0,7.0,0.0,5.0,8.0,9.0,10.0,10.0,2.0,5.0,0.0,5.0,10.0,10.0,5.0,10.0,24.0
MIAMI LAKES,4.0,5.0,4.0,5.0,4.0,5.0,5.0,8.0,9.0,8.0,0.0,9.0,8.0,6.0,9.0,7.0,0.0,5.0,10.0,9.0,10.0,10.0,0.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,43.0
MICHIGAN CITY,7.0,5.0,9.0,5.0,8.0,5.0,8.0,8.0,5.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,5.0,5.0,8.0,9.0,10.0,10.0,6.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,68.0
MIDDLEBURG HEIGHTS,9.0,5.0,3.0,5.0,6.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,2.0,6.0,5.0,7.0,5.0,5.0,9.0,9.0,10.0,10.0,10.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,72.0
MIDDLETOWN,7.25,5.0,7.5,5.0,7.25,5.0,9.5,8.0,8.75,8.0,10.0,9.0,5.5,6.0,7.5,7.0,6.25,5.0,9.0,9.0,10.0,10.0,3.75,5.0,6.5,5.0,10.0,10.0,10.0,10.0,72.5
MIDLAND,8.0,5.0,6.0,5.0,7.0,5.0,9.33,8.0,9.67,8.0,10.0,9.0,8.0,6.0,8.67,7.0,1.67,5.0,10.0,9.0,10.0,10.0,5.67,5.0,7.0,5.0,10.0,10.0,10.0,10.0,68.33
MIDLOTHIAN,6.0,5.0,7.0,5.0,7.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,6.0,5.0,9.0,5.0,10.0,10.0,10.0,10.0,80.0
MIDWEST CITY,5.0,5.0,5.0,5.0,5.0,5.0,8.5,8.0,6.5,8.0,10.0,9.0,7.0,6.0,8.5,7.0,8.5,5.0,9.0,9.0,10.0,10.0,3.5,5.0,5.0,5.0,10.0,10.0,10.0,10.0,71.0
MILFORD,4.5,5.0,4.5,5.0,4.75,5.0,8.75,8.0,9.25,8.0,10.0,9.0,6.25,6.0,8.0,7.0,4.75,5.0,10.0,9.0,10.0,10.0,5.0,5.0,3.5,5.0,10.0,10.0,10.0,10.0,65.25
MILLBURN,10.0,5.0,10.0,5.0,10.0,5.0,10.0,8.0,8.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,8.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,79.0
MILLEDGEVILLE,4.5,5.0,2.0,5.0,3.5,5.0,9.0,8.0,7.0,8.0,10.0,9.0,5.5,6.0,7.0,7.0,2.0,5.0,10.0,9.0,10.0,10.0,2.5,5.0,4.5,5.0,10.0,10.0,10.0,10.0,53.5
MILLVILLE,3.0,5.0,2.0,5.0,3.0,5.0,6.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,3.0,5.0,8.0,9.0,10.0,10.0,0.0,5.0,6.0,5.0,10.0,10.0,8.0,10.0,49.0
MILPITAS,3.0,5.0,0.0,5.0,2.0,5.0,8.0,8.0,7.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,4.0,5.0,9.0,9.0,9.0,10.0,4.0,5.0,9.0,5.0,10.0,10.0,10.0,10.0,61.0
MILWAUKEE,4.3,5.0,3.9,5.0,4.1,5.0,6.9,8.0,8.7,8.0,10.0,9.0,5.3,6.0,7.2,7.0,5.1,5.0,9.2,9.0,10.0,10.0,4.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,61.9
MILWAUKIE,9.0,5.0,2.0,5.0,6.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,9.0,5.0,8.0,9.0,10.0,10.0,8.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,80.0
MINDEN,3.0,5.0,2.0,5.0,2.5,5.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,8.5,7.0,1.5,5.0,10.0,9.0,10.0,10.0,6.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,54.0
MINEOLA,7.0,5.0,8.0,5.0,7.0,5.0,6.0,8.0,9.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,68.0
MINNEAPOLIS,8.0,5.0,4.0,5.0,6.0,5.0,8.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,2.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,66.0
MIRAMAR,7.0,5.0,9.0,5.0,8.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,7.0,5.0,9.0,9.0,10.0,10.0,8.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,73.0
MISHAWAKA,5.5,5.0,6.5,5.0,6.0,5.0,10.0,8.0,8.5,8.0,10.0,9.0,6.5,6.0,7.5,7.0,5.5,5.0,8.5,9.0,10.0,10.0,4.5,5.0,8.0,5.0,10.0,10.0,10.0,10.0,72.0
MISSION,6.25,5.0,6.0,5.0,6.0,5.0,9.5,8.0,8.0,8.0,10.0,9.0,7.5,6.0,8.5,7.0,6.5,5.0,10.0,9.0,10.0,10.0,4.25,5.0,7.75,5.0,10.0,10.0,10.0,10.0,74.25
MISSION HILLS,6.5,5.0,8.5,5.0,7.5,5.0,9.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,5.5,5.0,9.5,9.0,10.0,10.0,3.5,5.0,8.0,5.0,10.0,10.0,10.0,10.0,72.5
MISSION VIEJO,4.5,5.0,7.5,5.0,5.5,5.0,8.5,8.0,9.5,8.0,10.0,9.0,7.0,6.0,8.5,7.0,8.0,5.0,8.5,9.0,10.0,10.0,3.5,5.0,3.5,5.0,10.0,10.0,10.0,10.0,71.0
MISSOULA,2.0,5.0,3.0,5.0,2.0,5.0,8.0,8.0,7.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,4.0,5.0,7.0,9.0,10.0,10.0,4.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,63.0
MITCHELLVILLE,6.0,5.0,1.0,5.0,4.0,5.0,5.0,8.0,7.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,4.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,8.0,5.0,10.0,10.0,8.0,10.0,60.0
MOBILE,7.88,5.0,1.25,5.0,4.75,5.0,8.5,8.0,9.38,8.0,10.0,9.0,6.38,6.0,7.75,7.0,3.12,5.0,9.88,9.0,10.0,10.0,6.25,5.0,3.5,5.0,10.0,10.0,10.0,10.0,62.75
MOCKSVILLE,1.0,5.0,5.0,5.0,3.0,5.0,8.0,8.0,10.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,4.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,61.0
MODESTO,5.4,5.0,9.6,5.0,7.2,5.0,6.2,8.0,6.0,8.0,10.0,9.0,4.6,6.0,6.8,7.0,7.8,5.0,9.2,9.0,10.0,10.0,5.8,5.0,8.8,5.0,10.0,10.0,10.0,10.0,72.8
MOLINE,7.0,5.0,2.0,5.0,5.0,5.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,0.0,5.0,10.0,9.0,10.0,10.0,0.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,51.0
MONROE,6.0,5.0,4.83,5.0,5.5,5.0,8.0,8.0,9.0,8.0,10.0,9.0,4.0,6.0,6.33,7.0,4.0,5.0,10.0,9.0,10.0,10.0,4.33,5.0,5.5,5.0,10.0,10.0,10.0,10.0,62.17
MONROEVILLE,4.0,5.0,5.0,5.0,4.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,9.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,67.0
MONROVIA,4.0,5.0,3.0,5.0,4.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,69.0
MONTCLAIR,2.33,5.0,4.33,5.0,3.33,5.0,6.67,8.0,7.33,8.0,10.0,9.0,6.33,6.0,7.67,7.0,6.33,5.0,10.0,9.0,10.0,10.0,3.67,5.0,3.33,5.0,9.0,10.0,10.0,10.0,59.67
MONTEBELLO,6.8,5.0,6.4,5.0,6.6,5.0,7.6,8.0,8.6,8.0,8.0,9.0,5.8,6.0,6.8,7.0,6.0,5.0,8.8,9.0,10.0,10.0,5.6,5.0,5.6,5.0,10.0,10.0,10.0,10.0,68.4
MONTEREY,5.0,5.0,7.0,5.0,6.0,5.0,7.0,8.0,6.0,8.0,10.0,9.0,2.0,6.0,5.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,9.0,5.0,10.0,10.0,10.0,10.0,77.0
MONTEREY PARK,8.0,5.0,4.5,5.0,6.5,5.0,8.5,8.0,10.0,8.0,10.0,9.0,3.5,6.0,6.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,4.5,5.0,6.5,5.0,10.0,10.0,10.0,10.0,69.5
MONTGOMERY,4.0,5.0,1.0,5.0,2.6,5.0,7.0,8.0,9.4,8.0,10.0,9.0,4.6,6.0,6.8,7.0,2.6,5.0,9.4,9.0,10.0,10.0,4.2,5.0,5.0,5.0,10.0,10.0,10.0,10.0,54.0
MONTICELLO,6.0,5.0,8.0,5.0,7.0,5.0,6.0,8.0,7.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,3.0,5.0,7.0,9.0,10.0,10.0,8.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,62.0
MONTOURSVILLE,10.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,10.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,81.0
MOON TOWNSHIP,10.0,5.0,10.0,5.0,10.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,10.0,5.0,9.0,9.0,10.0,10.0,2.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,78.0
MOORESVILLE,9.0,5.0,10.0,5.0,9.0,5.0,9.0,8.0,10.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,2.0,5.0,10.0,10.0,10.0,10.0,61.0
MOREHEAD CITY,9.0,5.0,9.0,5.0,9.0,5.0,9.0,8.0,10.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,79.0
MORENO VALLEY,3.33,5.0,3.67,5.0,3.67,5.0,7.67,8.0,7.67,8.0,10.0,9.0,5.67,6.0,7.33,7.0,5.33,5.0,9.33,9.0,10.0,10.0,3.0,5.0,7.33,5.0,10.0,10.0,10.0,10.0,62.33
MORGAN HILL,2.0,5.0,7.0,5.0,5.0,5.0,8.0,8.0,9.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,9.0,10.0,10.0,5.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,73.0
MORGANTON,10.0,5.0,10.0,5.0,10.0,5.0,8.0,8.0,9.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,7.0,5.0,9.0,5.0,10.0,10.0,10.0,10.0,77.0
MORRIS,0.0,5.0,0.0,5.0,0.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,69.0
MORRISTOWN,2.0,5.0,7.0,5.0,4.0,5.0,9.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,59.0
MORTON,9.0,5.0,1.0,5.0,5.0,5.0,8.0,8.0,2.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,4.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,61.0
MOSES LAKE,6.0,5.0,2.0,5.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,8.0,5.0,9.0,9.0,10.0,10.0,5.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,68.0
MOULTRIE,1.0,5.0,4.0,5.0,2.0,5.0,6.0,8.0,10.0,8.0,0.0,9.0,8.0,6.0,9.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,61.0
MOUNT AIRY,0.0,5.0,4.0,5.0,2.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,8.0,5.0,6.0,5.0,10.0,10.0,10.0,10.0,65.0
MOUNT LAUREL,6.0,5.0,2.0,5.0,4.0,5.0,7.0,8.0,7.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,0.0,5.0,10.0,9.0,10.0,10.0,2.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,49.0
MOUNT OLIVE,10.0,5.0,1.0,5.0,6.0,5.0,9.0,8.0,5.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,6.0,5.0,9.0,9.0,10.0,10.0,2.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,67.0
MOUNT PLEASANT,6.67,5.0,3.0,5.0,5.0,5.0,8.0,8.0,10.0,8.0,10.0,9.0,3.67,6.0,6.33,7.0,7.67,5.0,9.67,9.0,10.0,10.0,7.67,5.0,2.33,5.0,10.0,10.0,10.0,10.0,70.0
MOUNT VERNON,5.33,5.0,7.67,5.0,6.33,5.0,6.67,8.0,7.0,8.0,3.33,9.0,4.67,6.0,5.67,7.0,6.0,5.0,6.67,9.0,10.0,10.0,3.0,5.0,3.33,5.0,10.0,10.0,9.67,10.0,57.33
MOUNTAIN VIEW,3.0,5.0,5.0,5.0,4.0,5.0,9.0,8.0,6.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,10.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,85.0
MOUNTAINSIDE,6.0,5.0,3.0,5.0,5.0,5.0,9.0,8.0,6.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,5.0,5.0,9.0,9.0,10.0,10.0,5.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,62.0
